,Kod,Popis,Typ
328,2.2.1.3.1,"Poškození volantu nebo řídítek (konstrukce), které má vliv na spolehlivé a bezpečné ovládání vozidla.",B
329,2.2.1.3.2,"Prasklá řídítka nebo nosník čepu řízení nebo poškození volantu nebo řídítek (konstrukce), které bezprostředně ohrožuje spolehlivé a bezpečné ovládání vozidla.",C
330,2.2.1.4,Nebezpečná úprava nebo neschválená změna volantu / řídítek.,B
331,2.2.1.5.1,"Poškození volantu, které může způsobit poranění řidiče.",B
332,2.2.1.5.2,"Krytka náboje volantu chybí, nebo je poškozená (např. vystřelený airbag) nebo neodpovídá požadavkům na bezpečnost.",B
333,2.2.1.5.3,Použití koule na volant u vozidel s konstrukční rychlostí přesahující 40km/h.,B
334,2.2.2.1,Nadměrná pohyblivost středu volantu směrem nahoru nebo dolů (axiální vůle).,B
335,2.2.2.2,Nadměrná pohyblivost horní části sloupku radiálně od osy sloupku (vůle v uložení).,B
336,2.2.2.3,"Zhoršený stav pružných spojů (např. hardy spojka) nebo universálních kloubů na volantové hřídeli, který ovlivňuje spolehlivost a funkci spojeni.",B
337,2.2.2.4.1,Sloupek řízení uvolněný.,B
338,2.2.2.4.2,U motocyklu nadměrná nebo nedostatečná provozní vůle v uložení vidlice předního kola ovlivňující jízdní vlastnosti vozidla.,B
339,2.2.2.4.3,"Stav sloupku řízení je v tak zhoršeném stavu nebo jeho uchycení je natolik nespolehlivé, že je bezprostředně ohroženo bezpečné ovládání vozidla.",C
340,2.2.2.4.4,U motocyklu deformovaná nebo prasklá vidlice řízení předního kola.,C
341,2.2.2.5,"Nebezpečná úprava sloupku řízení / vidlice, která bezprostředně ohrožuje bezpečné ovládání vozidla.",C
342,2.3.1,"U vozidel schválených před 1. 1. 2002, nestanoví-li výrobce jinak, mechanická obvodová vůle volantu, přesahuje při nastavení kol do přímého směru: • 36° u vozidel s konstrukční rychlostí do 40 km/h",C
343,2.4.1,Seřízení sbíhavosti (rozbíhavosti) kol řízené nápravy přesahuje povolené tolerance.,A
344,2.4.2,"Odklon kol řízené nápravy přesahuje povolené tolerance nebo je vozidlo vybaveno poklicemi kol, které brání v provedení předepsaných kontrolních úkonů.",B
345,2.5.1.1,"Konstrukční část otočného spojení (točnice) řízené nápravy s rámem vozidla je prasklá, poškozená (deformovaná) nebo nadměrně zkorodovaná.",B
346,2.5.1.2,"Konstrukční část otočného spojení (točnice) řízené nápravy s rámem vozidla je v natolik zhoršeném technickém stavu (např. popraskaná nebo nadměrně zkorodovaná), že je bezprostředně ohrožena bezpečnost jízdy vozidla.",C
347,2.5.2.1,Nadměrně opotřebené otočné spojení (točnice) řízené nápravy s rámem vozidla.,B
348,2.5.2.2,"Otočné spojení (točnice) řízené nápravy šrámem vozidla je natolik opotřebované, zeje bezprostředně ohrožena bezpečnost jízdy vozidla.",C
349,2.5.3.1,"Některé upevňovací prvky na otočném spojení (točnice) řízené nápravy s rámem vozidla jsou uvolněné, prasklé nebo chybí.",B
350,2.5.3.2,"Spojovací prvky otočného spojení (točnice) řízené nápravy s rámem vozidla jsou natolik nespolehlivé (např. spojovací prvky uvolněné, prasklé nebo chybí), zeje bezprostředně ohrožena bezpečnost jízdy vozidla.",C
351,2.6.1,Kontrolka vadné funkce elektronického posilovače řízení signalizuje poruchu systému.,B
352,2.6.2.1,Elektronický posilovač řízení nefunguje.,B
353,2.6.2.2,Elektronický posilovač řízení nefunguje a bezprostředně ovlivňuje bezpečnost řízení (neshoda mezi úhlem natočení volantu a úhlem natočení kol).,C
354,2.6.3,Systém signalizuje závadu přes elektronické rozhraní vozidla.,B
355,3.1.1.1,"Překážka v poli přímého výhledu řidiče směrem dopředu v úhlu 180°, která narušuje jeho výhled dopředu či do stran nebo sledování zařízení pro nepřímý výhled.",B
356,3.1.2.1,"Clona proti slunci čelního okna u spolujezdce, je-li instalována, chybí je poškozená tak, že neplní svoji funkci nebo nelze nastavit v požadované poloze nebo neodpovídá požadavkům.",A
357,3.1.2.2,"Clona proti slunci čelního okna před řidičem chybí, je poškozená tak, že neplní svoji funkci nebo ji nelze nastavit v požadované poloze nebo neodpovídá požadavkům.",B
358,3.2.1.2,"Poškození zasklení (praskliny, neprůhledné nebo poškrábané sklo) o velikosti nejvíce 1/3 výšky průhledné části zasklení, které se nachází v poli výhledu řidiče směrem dopředu, mimo vymezenou část stírané plochy čelního skla nebo poškození o velikosti menší než 20 mm, které se nachází ve vymezené části stírané plochy čelního skla.",A
359,3.2.1.3,"Poškození zasklení (praskliny, neprůhledné nebo poškrábané zasklení), o velikosti větší než 1/3 výšky průhledné části zasklení na výšku, které se nachází v poli výhledu řidiče směrem dopředu, mimo vymezenou část stírané plochy čelního skla nebo poškození zasklení o velikosti větší než 20 mm, které se nachází ve vymezené části stírané plochy čelního skla.",B
360,3.2.1.4,"V některém okně, mimo čelního okna, chybí zasklení.",B
361,3.2.1.5,"Poškození skla zasklení snižuje výhled řidiče natolik, že je bezprostředně ohrožena bezpečnost jízdy vozidla nebo způsob upevnění nebo stav poškození zasklení ohrožuje přepravované osoby.",C
362,3.2.1.6,V čelním okně schází zasklení.,C
363,3.2.1.8,"Poškození skla zasklení (např. praskliny, poškrábání nebo zastříkání barvou) mimo pole výhledu řidiče, které vzhledem k rozsahu svého poškození, negativně ovlivňuje celkovou pevnost zasklení nebo znemožňuje přiměřeně výhled z vozidla.",B
364,3.2.2.1,V poli výhledu řidiče směrem dopředu (v úhlu 180°) je celkový prostup světla přes zasklení nižší než 70 %.,B
365,3.2.2.2,V poli výhledu řidiče směrem dozadu je celkový prostup světla přes zasklení nižší než 70 % a vozidlo není vybaveno funkčními vnějšími zrcátky na levé a pravé straně.,B
366,3.2.3.1,"U vozidla, není-li stanoveno jinak, použito nehomologované bezpečnostní zasklení nebo u vozidla schváleného po 1. 1. 2002 není na jeho použití (např. DOT) udělena výjimka, zapsaná v technickém průkazu vozidla.",B
367,3.2.3.2,"Způsob montáže zasklívacího materiálu ve vozidle je vadný nebo neodpovídá požadavkům (např. původnímu provedení výrobce), nebo příslušné části karoserie pro upevnění zasklení jsou zkorodovány v celé tloušťce stěny, v souhrnné délce větší než 1/5 největší délky okna.",B
368,3.2.3.3,"Ochrana zasklení proti náhodnému poškození přepravovaným nákladem, je-li vyžadována, chybí nebo je poškozena tak, že neplní svůj účel nebo neodpovídá požadavkům.",B
369,3.2.4.1,"Jakákoliv dodatečná úprava čelního okna, vyjma použití schválené folie pro čelní okno opatřené povinným štítkem s předepsanými údaji (označení výrobce, typ výrobku, schvalovací značka ATEST 8 SD XXXX a text „JEN NA ČELNÍ OKNO“).",B
370,3.2.4.2,"Použití neschválené fólie nebo způsob montáže dodatečné úpravy neodpovídá požadavkům (zakrytí střední brzdové svítilny) nebo poškozená fólie (změna zabarvení, trhliny nebo vznik vzduchových bublin mezi nalepenou fólií a sklem) omezuje nebo zkresluje výhled řidiče.",B
371,3.2.4.3,"Dodatečně povrchově upravené zasklení není opatřeno povinným štítkem s předepsanými údaji (označení výrobce, typ výrobku, schvalovací číslo ATEST 8 SD XXXX).",B
372,3.2.4.4,Oprava stanoveného zasklení omezuje nebo zkresluje výhled řidiče nebo oprava zasklení některého okna vozidla zjevně snižuje pevnost zasklení nebo může způsobit ohrožení bezpečnosti.,B
373,3.2.5.1,"Některé okno, je-li otevíratelné, nelze otevřít.",A
374,3.2.5.2,Některé okno nelze zavřít či bezpečně zajistit v zavřené poloze.,B
375,3.2.6.1,U motocyklu čelní překryt (větrný štít) prasklý nebo zjevně demontovaný.,A
376,3.2.6.2,"U motocyklu horní hrana čelního překrytu (větrný štít) nemá předepsané zaoblení (rádius) nebo je překryt neúplný, nadměrně popraskaný nebo nedostatečně upevněný.",B
377,3.2.6.3,U motocyklu stav poškození nebo upevnění čelního překrytu (větrný štít) snižuje výhled směrem dopředu nebo vzniká nebezpečí poranění osob a tím je bezprostředně ohrožena bezpečnost jízdy vozidla.,C
378,3.3.1.2,"Vozidlo není vybaveno, popřípadě není povinně dovybaveno, předepsaným počtem zařízení pro nepřímý výhled dané třídy nebo rozměru nebo bylo zařízení z vozidla zjevně demontováno.",B
379,3.3.1.3,"U vozidla, není-li stanoveno jinak, použito neschválené / nehomologované zařízením pro nepřímý výhled nebo u vozidla schváleného po 1. 1. 2002 není na jeho použití (např. DOT) udělena výjimka, zapsaná v technickém průkazu vozidla.",B
380,3.3.2.1,"Zařízení, umožňující vychýlení po nárazu, není funkční.",A
381,3.3.2.2,"Uvolněné, nespolehlivé nebo poškozené uchycení zařízení pro nepřímý výhled nebo nemožnost aretace v seřízené poloze neumožňuje řidiči poskytovat jasný výhled z vozidla předepsaným směrem.",B
382,3.3.2.3,Způsob montáže zařízení pro nepřímý výhled na vozidle neodpovídá požadavkům.,B
383,3.3.3.2,"Některé povinné zařízení pro nepřímý výhled, při sezení na místě řidiče v normální jízdní poloze, nezajišťuje předepsané pole výhledu směrem dozadu nebo do strany popřípadě před vozidlo nebo zařízení kamera -monitor nefunguje správně nebo není funkční.",B
384,3.3.3.3,"Dodatečná úprava karosérie vozidla (např. dostavba nebo přestavba), která omezuje předepsané pole výhledu pro jednotlivé třídy zpětných zrcátek (krátké držáky).",B
385,3.3.4.1,"Poškození zařízení pro nepřímý výhled, které však umožňuje plnit jeho funkci nebo poškození konstrukce (ochranné pouzdro) zařízení pro nepřímý výhled, které je umístěno 2 m nad vozovkou.",A
386,3.3.4.2,"Nepřípustné úpravy (např. nálepky) nebo poškození zařízení pro nepřímý výhled, které neumožňuje řidiči poskytovat tímto zařízením předepsaný nebo jasný výhled z vozidla směrem dozadu nebo do strany popřípadě před vozidlo.",B
387,3.3.4.3,"Poškození nebo nepovolená úprava (např. u motocyklu) zařízení pro nepřímý výhled, které se nachází níže než 2 m nad vozovkou, při kterých jsou na povrchu konstrukce (ochranné pouzdro) ostré hrany, které mohou způsobit zachycení nebo zranění osob.",B
388,3.4.1.1,Stěrač zadního skla nelze uvést v činnost.,A
389,3.4.1.2,Stěrače čelního skla nelze uvést v činnost nebo některý stěrač nefunguje.,B
390,3.4.2.1,Stěrač zadního skla chybí nebo ramínko dostatečně nestírá v celé ploše.,A
391,3.4.2.2,"Některý stěrač čelního skla, je-li vyžadován, chybí nebo ramínko stěrače dostatečně nestírá v celé ploše tak, aby zajistilo dostatečnou viditelnost řidiče čelním sklem.",B
392,3.4.2.3,"Některý stěrač skla je neúplný nebo poškozený tak, že poškozuje stírané sklo.",B
393,3.4.3.1,Hřídel stěrače není opatřena ochranným pouzdrem (nebezpečné vnější výčnělky).,A
394,3.4.3.2,Uvolněné uchycení stěrače nebo způsob jeho montáže (seřízení) má vliv na chybnou funkci stírání nebo způsobuje poškození stíraného skla.,B
395,3.5.1.1,"Ostřikovač zadního skla, je-li instalován, nefunguje nebo chybí.",A
396,3.5.1.2,Ostřikovač čelního skla neostřikuje dostatečně stíranou plochu před spolujezdcem (seřízení).,A
397,3.5.1.3,Některý ostřikovač čelního skla nefunguje nebo chybí nebo neostřikuje dostatečně stíranou plochu před řidičem (seřízení).,B
398,3.6.1.1,Ovládačem systému odmlžování čelního skla nelze plynule měnit výkon odmlžování (např. otáčky ventilátoru a teplota).,A
399,3.6.1.2,"Systém odmlžování čelního skla nefunguje nebo je poškozen tak, že zjevně neplní svoji funkci.",B
400,3.6.2.1,Ovladačem systému odmrazování čelního skla nelze plynule měnit výkon odmrazování.,A
401,3.6.2.2,"Systém odmrazování čelního skla nefunguje nebo je poškozen tak, že zjevně neplní svoji funkci.",B
402,3.6.3.1,Nevyhovujícím stavem systému odmrazování nebo odmlžování čelního skla vozidla (např. netěsnost nebo nadměrná koroze potrubí) hrozí nebezpečí pronikání emisí jedovatých či výfukových plynů do prostoru pro cestující.,B
403,3.6.3.2,Systémem odmlžování nebo odmrazování čelního skla vozidla se dostávají do prostoru pro cestující emise výfukových nebo jiných jedovatých plynů.,C
404,4.1.1.1.1,Nesvítí některý nepovinný (volitelný) světlomet.,A
405,4.1.1.1.2,"Vpotkávacím světlometu nesvítí doplňkový zdroj světla, který však nevytváří hlavní potkávací světlo (k posílení světla do zatáčky).",A
406,4.1.1.1.3,Nesvítí některý povinný světlomet.,B
407,4.1.1.1.4,"U potkávacího světlometu zdroj světla vadný, předepsaná kresba nemá osvětlenou plochu jasně ohraničenou nebo celistvou (tmavé plochy).",A
408,4.1.1.1.5,"U potkávacího nebo dálkového světlometu zdroj světla ve světlometu chybně upevněn nebo je vadný, takže nesplňuje fotometrické vlastnosti (nevytváří požadovanou kresbu) nebo způsobuje oslnění.",B
409,4.1.1.1.6,Světlo / zdroj světlaje vadný nebo chybí.,B
410,4.1.1.1.7,Jediné světlo / zdroj světla; v případě LED viditelnost závažně narušena.,B
411,4.1.1.1.8,Na vozidle nesvítí žádný potkávací světlomet nebo na straně do vozovky nesvití potkávací světlomet ani přední obrysová svítilna,C
412,4.1.1.2.1,"Vnější krycí sklo, těleso nebo optický systém potkávacího světlometu nebo dálkového světlometu poškozený, ale stav poškození zjevně neovlivňuje jeho fotometrické vlastnosti (např. intenzita vyzařovaného světla, kresba) nebo možnost jeho seřízení.",A
413,4.1.1.2.2,"Vnější krycí sklo, těleso nebo optický systém potkávacího světlometu nebo dálkového světlometu poškozený tak, že poškození zjevně ovlivňuje nebo bude ovlivňovat jeho funkci nebo fotometrické vlastnosti (např. intenzita vyzařovaného světla, kresba) nebo možnost jeho seřízení.",B
414,4.1.1.3,Některý úchyt potkávacího nebo dálkového světlometu uvolněný nebo prasklý nebo chybí a tento stav má vliv na seřízení světlometu (např. způsobuje blikání světlometu za jízdy) nebo se světlomet může za jízdy uvolnit nebo způsob uchycení světlometu neodpovídá požadavkům.,B
415,4.1.2.1.1,Výškové seřízení sklonu rozhraní potkávacího světlometu neodpovídá požadavkům.,B
416,4.1.2.1.2,Stranové seřízení rozhraní potkávacího světlometu neodpovídá požadavkům.,B
417,4.1.2.1.3,"Natočení obrazu rozhraní potkávacího světlometu chybné, ale nezpůsobuje oslnění.",A
418,4.1.2.1.4,Natočení obrazu rozhraní potkávacího světlometu neodpovídá požadavkům.,B
419,4.1.2.1.5,Seřízení dálkového světlometu neodpovídá požadavkům.,B
420,4.1.2.1.6,Systém vykazuje závadu přes elektronické rozhraní vozidla.,B
421,4.1.3.1.1,Potkávací nebo dálkový světlomet nebo potkávací nebo dálkové světlomety nelze uvést v činnost.,B
422,4.1.3.1.2,"Nepovinné (volitelné) dálkové světlomety, jsou-li zapojeny, nelze uvést v činnost.",B
423,4.1.3.1.3,Systém vykazuje závadu přes elektronické rozhraní vozidla.,B
424,4.1.3.2.1,Přepnutí z potkávacích světlometů na dálkové světlomety nebo naopak není funkční.,B
425,4.1.3.2.2,Při přepnutí potkávacích světlometů na dálkové světlomety nebo naopak vzniká časová prodleva (nedostatečné osvětlení vozovky).,B
426,4.1.3.3.1,Povinná kontrolka činnosti / zapojení obvodu dálkového světlometu chybí.,B
427,4.1.3.3.2,"Povinná kontrolka činnosti / poruchy / zapojení obvodu potkávacího světlometu, je-li vyžadována, chybí.",B
428,4.1.4.1.1,Vozidlo není vybaveno předepsaným potkávacím nebo dálkovým světlometem (popřípadě párem předepsaných světlometů).,B
429,4.1.4.1.2,Skutečný stav zapojených světlometů neodpovídá předepsanému / povolenému počtu typu světlometů (potkávací / dálkový světlomet).,B
430,4.1.4.1.3,Umístění světlometů na vozidle nesplňuje požadavky na jejich uspořádání nebo orientaci nebo požadavky na jejich umístění vzhledem k šířce nebo výšce vozidla nebo podmínky jejich geometrické viditelnosti.,B
431,4.1.4.1.4,Umístění nebo způsob montáže světlometů na vozidle nebo jejich úprava (např. ochranné mřížky) nesplňuje požadavky na vnější výčnělky na vozidle.,B
432,4.1.4.1.5,"Světlomet vyzařuje jinou barvu světla než bílou (s výjimkou traktorů a vozidel schválených do provozu před 1. 7. 1972, u kterých se připouští i selektivní žlutá barva).",B
433,4.1.4.1.6,Sada (pár) světlometů zjevně nesplňuje předepsané fotometrické vlastnosti (např. intenzita vyzařovaného světla).,B
434,4.1.4.1.7,Index intenzity vyzařovaného světla u současně rozsvícených dálkových světlometů překračuje povolený limit.,B
435,4.1.4.1.8,"Částice na čočce nebo zdroj světla, kvůli kterým se zjevně snižuje jasnost světla nebo se mění barva vyzařovaného světla",B
436,4.1.4.2.1,"Světelný signál (houkačka), je-li jim vozidlo vybaveno, nefunguje v souladu s požadavky.",A
437,4.1.4.2.2,Počet současně rozsvícených dálkových světlometů překračuje dva páry (4 ks).,B
438,4.1.4.2.3,"Elektrické zapojení potkávacích nebo dálkových světlometů nebo jejich uvedení v činnost, není v souladu s požadavky.",B
439,4.1.4.3.1,"Úpravy na vozidle, které ovlivňují vnější povrch rozptylového skla, avšak nezasahují do svítící plochy nebo plochy výstupu světla světlometu.",A
440,4.1.4.3.2,Nepovolená úprava světlometu.,B
441,4.1.4.3.3,Použití zjevně nehomologovaného / neschváleného zdroje světla nebo nepovolená úprava zdroje světla.,B
442,4.1.4.4,"Ve světlometu použit zjevně jiný zdroj světla, který je neslučitelný s udělenou homologací / schválení světlometu.",B
443,4.1.4.5.1,"U vozidla, schváleného v ČR po 1. 1. 2002, pro potkávací nebo dálkové světlo použit nehomologovaný světlomet (např. DOT) a na jeho použití není udělena výjimka, zapsaná v technickém průkazu vozidla.",B
444,4.1.4.5.2,"Použit potkávací světlomet, který není určen pro pravostranný provoz.",B
445,4.1.4.5.3,"Pro potkávací nebo dálkové světlo použito světelné zařízení, určené pro jinou funkci osvětlení (např. mlhový světlomet).",B
446,4.1.5.1.1,"U vozidla, je-li vyžadována, chybí automatická korekce sklonu světlometů.",B
447,4.1.5.1.2,"Automatická korekce sklonu světlometů, není zjevně plně funkční.",B
448,4.1.5.1.3,Systém vykazuje závadu přes elektronické rozhraní vozidla.,B
449,4.1.5.2.1,"Ručně ovládaná korekce sklonu světlometů, je-li vyžadována, chybí.",B
450,4.1.5.2.2,Korekce sklonu světlometů není plně funkční.,B
451,4.1.6.1.1,Zařízení pro čištění světlometu není funkční.,A
452,4.1.6.1.2,"U vozidla, je-li vyžadováno, chybí nebo není funkční zařízení pro čištění světlometů.",B
453,4.2.1.1.1,Nesvítí některá nepovinná (volitelná) obrysová nebo denní svítilna.,A
454,4.2.1.1.2,Nesvítí některá obrysová nebo denní svítilna.,B
455,4.2.1.1.3,"Zdroj světla zjevně vadný (např. zčernalá žárovka) nebo poškozený tak, že zjevně ovlivňuje fotometrické vlastnosti obrysové nebo denní svítilny (např. intenzita vyzařovaného světla) nebo mění barvu vyzařovaného světla.",B
456,4.2.1.1.4,Použití nehomologovaného / neschváleného zdroje světla nebo nepovolená změna zdroje světla.,B
457,4.2.1.1.5,Na vozidle nesvítí žádná zadní obrysová svítilna nebo na straně do vozovky nesvítí žádná zadní obrysová svítilna včetně doplňkové obrysové svítilny.,C
458,4.2.1.2.2,"Vnější krycí sklo, těleso nebo optický systém obrysové nebo denní svítilny poškozený tak, že poškození zjevně ovlivňuje nebo bude ovlivňovat její funkci nebo fotometrické vlastnosti (např. intenzita vyzařovaného světla) nebo mění barvu vyzařovaného světla.",B
459,4.2.1.3,Chybné uchycení nebo způsob montáže obrysové nebo denní svítilny negativně ovlivňuje její funkci nebo fotometrické vlastnosti (např. viditelnost) nebo se může za jízdy uvolnit.,B
460,4.2.2.1,Obrysové nebo denní svítilny nelze uvést v činnost.,B
461,4.2.2.2,"Kontrolka činnosti / zapojení obvodu obrysových světel, je-li vyžadována, chybí.",B
462,4.2.3.1.1,Vozidlo není vybaveno některými předepsanými obrysovými nebo denními svítilnami.,B
463,4.2.3.1.2,Skutečný stav zapojených obrysových nebo denních svítilen neodpovídá předepsanému / povolenému počtu (chybí / překračuje).,B
464,4.2.3.1.3,Umístění obrysových nebo denních svítilen na vozidle nesplňuje požadavky na jejich uspořádání nebo orientaci nebo požadavky na jejich úhlovému naklopení či orientace montáže (TOP) nebo podmínky jejich geometrické viditelnosti.,B
465,4.2.3.1.4,"Svítilna je umístěna na pohyblivých částech, nebo její umístění na pohyblivých částech není v souladu s požadavky.",A
466,4.2.3.1.5,"Způsob dodatečné montáže obrysových nebo denních svítilen, jejich umístění nebo úprava, porušuje požadavky na vnější výčnělky na vozidle.",B
467,4.2.3.1.6,"Obrysová nebo denní svítilna, není-li stanoveno jinak, vyzařuje směrem dopředu světlo jiné barvy než bílé, směrem dozadu světlo jiné barvy než červené a směrem do stran světlo jiné barvy než oranžové, nebo sada obrysových svítilen (společný pár) zjevně nesplňuje stejné fotometrické vlastnosti.",B
468,4.2.3.1.7,Intenzita vyzařovaného světla obrysové nebo denní svítilny zjevně neodpovídá požadavkům (je nízká / vysoká).,B
469,4.2.3.2,"Elektrické zapojení obrysových nebo denních svítilen nebo jejich uvedení v činnost, není v souladu s požadavky.",B
470,4.2.3.3,Nepovolená úprava obrysové nebo denní svítilny nebo zdroje světla.,B
471,4.2.3.4.1,"U vozidla, schváleného v ČR po 1. 1. 2002, pro obrysovou svítilnu použito nehomologované světelné zařízení (např. DOT) a na jeho použití není udělena výjimka, zapsaná v technickém průkazu vozidla.",B
472,4.2.3.4.2,"Pro obrysovou nebo denní svítilnu použito světelné zařízení, určené pro jinou funkci osvětlení.",B
473,4.3.1.1.1,Nesvítí některá nepovinná (volitelná) brzdová svítilna.,A
474,4.3.1.1.2,Nesvítí některá povinná brzdová svítilna.,B
475,4.3.1.1.3,Na vozidle nesvítí žádná brzdová svítilna.,C
476,4.3.1.1.4,"Zdroj světla zjevně vadný (např. zčernalá žárovka) nebo poškozený tak, že zjevně ovlivňuje fotometrické vlastnosti brzdové svítilny (např. intenzita vyzařovaného světla) nebo mění barvu vyzařovaného světla.",B
477,4.3.1.1.5,Použití nehomologovaného / neschváleného zdroje světla nebo nepovolená změna zdroje světla.,B
478,4.3.1.1.7,U brzdové svítilny v případě LED modulu více jak 1/3 zdrojů světla je vadných.,B
479,4.3.1.2.2,"Vnější krycí sklo, těleso nebo optický systém brzdové svítilny poškozený tak, že poškození zjevně ovlivňuje nebo bude ovlivňovat její funkci nebo fotometrické vlastnosti (např. intenzita vyzařovaného světla) nebo mění barvu vyzařovaného světla.",B
480,4.3.1.3,Chybné uchycení nebo způsob montáže brzdové svítilny negativně ovlivňuje její funkci nebo fotometrické vlastnosti (např. viditelnost) nebo se může za jízdy uvolnit.,B
481,4.3.2.1.1,Zpomalená funkce spínače brzdových světel.,B
482,4.3.2.1.2,Systém vykazuje závadu přes elektronické rozhraní vozidla,B
483,4.3.2.1.3,Po aktivaci brzdy se na vozidle neuvedou v činnost brzdová světla.,C
484,4.3.2.2.1,Narušená funkce ovládacího zařízení - brzdová světla se nerozsvítí bezprostředně po aktivaci brzdy.,B
485,4.3.2.2.2,Světla nouzového brždění jsou nefunkční nebo nefungují správně.,B
486,4.3.3.1.1,Vozidlo není vybaveno brzdovými svítilnami předepsané kategorie.,B
487,4.3.3.1.2,Skutečný stav zapojených brzdových svítilen neodpovídá předepsanému / povolenému počtu (chybí / překračuje).,B
488,4.3.3.1.3,Umístění brzdových svítilen na vozidle nesplňuje požadavky na jejich uspořádání nebo orientaci nebo požadavky na jejich umístění vzhledem k šířce nebo výšce vozidla nebo jejich úhlovému naklopení či orientaci montáže (TOP) nebo podmínky jejich geometrické viditelnosti.,B
489,4.3.3.1.4,"Svítilny jsou umístěny na pohyblivých částech, nebo jejich umístění na pohyblivých částech není v souladu s požadavky.",A
490,4.3.3.1.5,Brzdová svítilna vyzařuje jinou barvu než červenou nebo sada brzdových svítilen (společný pár) zjevně nesplňuje stejné fotometrické vlastnosti.,B
491,4.3.3.1.6,Intenzita vyzařovaného světla brzdové svítilny zjevně neodpovídá požadavkům (je nízká).,B
492,4.3.3.1.7,"U brzdové svítilny kategorie S3 nebo S4, namontované uvnitř vozidla, dochází k obtěžování řidiče vyzařovaným světlem přes zařízení pro nepřímý výhled a / nebo jiné plochy vozidla (např. zadní okno).",B
493,4.3.3.2,"Elektrické zapojení brzdových svítilen nebo jejich uvedení v činnost, není v souladu s požadavky.",B
494,4.3.3.3,Nepovolená úprava brzdové svítilny nebo zdroje světla.,B
495,4.3.3.4.1,"U vozidla, schváleného v ČR po 1. 1. 2002 pro brzdové světlo použito nehomologované světelné zařízení (např. DOT) a na jeho použití není udělena výjimka, zapsaná v technickém průkazu vozidla.",B
496,4.3.3.4.2,"Pro brzdové světlo použito světelné zařízení, určené pro jinou funkci osvětlení (např. zadní mlhová svítilna).",B
497,4.4.1.1.1,Nesvítí některá nepovinná (volitelná) směrová svítilna.,A
498,4.4.1.1.2,Nesvítí některá směrová svítilna.,B
499,4.4.1.1.3,Nesvítí zadní směrová svítilna na straně přivrácené do středu vozovky.,C
500,4.4.1.1.4,"Zdroj světla zjevně vadný (např. sloupnutá barva) nebo poškozený tak, že ovlivňuje zjevně fotometrické vlastnosti směrové svítilny (např. intenzita vyzařovaného světla) nebo mění barvu vyzařovaného světla (bílá), v případě LED jako jediného zdroje světla funguje méně než ze 2/3.",B
501,4.4.1.1.5,Použití nehomologovaného / neschváleného zdroje světla nebo nepovolená změna zdroje světla.,B
502,4.4.1.1.6,"V případě vícenásobného zdroje světla (skupinová svítilna) některý zdroj světla směrové svítilny vadný, v případě LED modulu je až 1/3 zdrojů světla vadných.",A
503,,,
504,4.4.1.2.2,"Vnější krycí sklo, těleso nebo optický systém směrové svítilny poškozený tak, že poškození zjevně ovlivňuje nebo bude ovlivňovat její funkci nebo fotometrické vlastnosti (např. intenzita vyzařovaného světla) nebo mění barvu vyzařovaného světla.",B
505,4.4.1.3,Chybné uchycení nebo způsob montáže směrové svítilny negativně ovlivňuje její funkci nebo fotometrické vlastnosti (např. viditelnost) nebo se může za jízdy uvolnit.,B
506,4.4.2.1.1,Spínač výstražné signalizace není spolehlivý.,A
507,4.4.2.1.2,Výstražnou signalizaci nelze uvést v činnost.,B
508,4.4.2.1.4,Směrová světla nelze uvést v činnost nebo spínač směrových světel není spolehlivý.,C
509,4.4.2.2,Povinná kontrolka činnosti / zapojení obvodu (optická nebo zvuková) směrových světel nebo výstražné signalizace chybí.,B
510,4.4.3.1.1,Vozidlo není vybaveno předepsanými směrovými svítilnami.,B
511,4.4.3.1.2,Skutečný stav zapojených směrových svítilen neodpovídá předepsanému / povolenému počtu (chybí / překračuje).,B
512,4.4.3.1.3,"Umístění směrových svítilen na vozidle nesplňuje požadavky na jejich uspořádání nebo orientaci nebo požadavky na jejich umístění vzhledem k šířce, výšce nebo délce vozidla nebo jejich úhlovému naklopení či orientaci montáže (TOP) nebo vzhledem k vzdálenosti od potkávacího světlometu nebo podmínky jejich geometrické viditelnosti.",B
513,4.4.3.1.4,"Svítilny jsou umístěny na pohyblivých částech, nebo jejich umístění na pohyblivých částech není v souladu s požadavky.",A
514,4.4.3.1.5,"Způsob dodatečné montáže směrových svítilen, jejich umístění nebo úprava, porušuje požadavky na vnější výčnělky na vozidle.",B
515,4.4.3.1.6,"Směrová svítilna vyzařuje jinou barvu než oranžovou (s výjimkou vozidel schválených do provozu před 1. 7. 1972, u kterých se připouští barva bílá u předních a barva červená u zadních směrových svítilen) nebo sada směrových svítilen (společný pár) zjevně nesplňuje stejné fotometrické vlastnosti.",B
516,4.4.3.1.7,Intenzita vyzařovaného světla směrové svítilny zjevně neodpovídá požadavkům (je nízká).,B
517,4.4.3.2,Nepovolená úprava směrové svítilny nebo zdroje světla.,B
518,4.4.3.3.1,"U vozidla, schváleného v ČR po 1. 1. 2002, pro směrové světlo použito nehomologované světelné zařízení (např. DOT) a na jeho použití není udělena výjimka, zapsaná v technickém průkazu vozidla.",B
519,4.4.3.3.2,"Pro směrové světlo použito světelné zařízení, určené pro jinou funkci osvětlení (např. obrysová svítilna).",B
